_id,created_at,id,id_str,text,truncated,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
5faeaaf46395803f1d2ace4a,Fri Nov 13 15:48:52 +0000 2020,1327277259078705154,1327277259078705154,"RT @Jamtamarts: peaceful storm 
#technofanart ",false,"[{""text"":""technofanart"",""indices"":[32,45]}]",[],"[{""screen_name"":""Jamtamarts"",""name"":""Catboy jaime"",""id"":1036921675827138600,""id_str"":""1036921675827138563"",""indices"":[3,14]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",null,null,null,null,null,1050798990923579392,1050798990923579392, salt,WilddSalty,false,| sammy | they/them | canada | 23 | your resident many-eyed asshole |,null,[],false,35,361,0,Fri Oct 12 17:22:57 +0000 2018,29191,null,null,false,false,6539,null,false,false,false,000000,false,false,false,false,false,false,9E0700,000000,000000,000000,false,true,false,false,false,false,false,none,null,null,null,null,false,70,0,false,false,false,en
5faeaaf46395803f1d2ace4b,Fri Nov 13 15:48:50 +0000 2020,1327277250446827520,1327277250446827520,"RT @ColinKahl: Today, 6 US service members were killed in Egypt, Tropical Storm Eta made landfall, &amp; there were 150K+ COVID cases. ""Trump s",false,[],[],"[{""screen_name"":""ColinKahl"",""name"":""Colin Kahl"",""id"":475454826,""id_str"":""475454826"",""indices"":[3,13]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPad</a>",null,null,null,null,null,22311310,22311310,Al Smith,VARoadie,"Florida, USA","Retired clergy, Reformed Christian theological background, Kierkegaard, Barth, Bonhoeffer influenced.",null,[],false,118,316,3,Sat Feb 28 23:59:50 +0000 2009,5982,null,null,false,false,24070,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,337,0,false,false,,en
5faeaaf46395803f1d2ace4c,Fri Nov 13 15:48:46 +0000 2020,1327277231542943744,1327277231542943744,"#UmarKhalidKoRihaKaro
Join Twitter storm demanding @UmarKhalidJNU sir released 
Please raise your voice, your voice ",true,"[{""text"":""UmarKhalidKoRihaKaro"",""indices"":[0,21]}]",[],"[{""screen_name"":""UmarKhalidJNU"",""name"":""Umar Khalid"",""id"":721093982042792000,""id_str"":""721093982042791936"",""indices"":[51,65]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",null,null,null,null,null,1225098778136330240,1225098778136330240,@abusafiya,abusafi66205076,"Faizabad,/, India","    
   
",null,"[{""url"":"""",""expanded_url"":"""",""display_url"":""m.facebook.com/mohammedazeem."",""indices"":[58,81]}]",false,741,277,1,Wed Feb 05 16:48:39 +0000 2020,74571,null,null,true,false,10268,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,false,en
5faeaaf46395803f1d2ace4d,Fri Nov 13 15:48:43 +0000 2020,1327277218884694020,1327277218884694020,"RT @BestReo_: Last Montage FIFA21    

- ID : BestReo   
- Position : CB
 : @ReGloris @Storm_fc_
 by : ",false,[],[],"[{""screen_name"":""BestReo_"",""name"":""Rayan bin Mohammed"",""id"":1257070560556834800,""id_str"":""1257070560556834818"",""indices"":[3,12]},{""screen_name"":""ReGloris"",""name"":""ReGloris"",""id"":1305230428337582000,""id_str"":""1305230428337582083"",""indices"":[85,94]},{""screen_name"":""STORM_FC_"",""name"":""    "",""id"":1311780602300059600,""id_str"":""1311780602300059650"",""indices"":[95,105]},{""screen_name"":""Alissonbecker__"",""name"":""Alisson Becker"",""id"":780371907250094100,""id_str"":""780371907250094080"",""indices"":[121,137]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,1068112686620250112,1068112686620250112,Abo-omar119,Moo9600,   ,I am the greatest defender in the greatest club @STORM_FC_,null,[],false,50,48,0,Thu Nov 29 12:01:23 +0000 2018,62,null,null,false,false,613,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,15,0,false,false,,en
5faeaaf56395803f1d2ace4e,Fri Nov 13 15:48:42 +0000 2020,1327277216074493952,1327277216074493952,"@Babygirl7098 "" Ive been with you all day, why can't I just..""
[ Tom's ghost allowed itself to be seen, glaring at ",true,[],[],"[{""screen_name"":""Babygirl7098"",""name"":""S"",""id"":1062577406945476600,""id_str"":""1062577406945476608"",""indices"":[0,13]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[116,139]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",1327263797569089542,1327263797569089542,1062577406945476608,1062577406945476608,Babygirl7098,1318961132875485185,1318961132875485185,false,ursecretsiren,false," don't make her cry, make her cum ",null,[],false,2,2,0,Wed Oct 21 17:03:46 +0000 2020,13,null,null,false,false,1431,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,,en
5faeaaf56395803f1d2ace4f,Fri Nov 13 15:48:41 +0000 2020,1327277209736933376,1327277209736933376,"Tropical Storm Theta still has max sustained winds near 60 mph, centered nearly 500 miles south-southeast of the Az ",true,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">TweetDeck</a>",null,null,null,null,null,4505604087,4505604087,Storm HQ,TheRealStormHQ,false,"We provide detailed weather forecasts for Southern ME, Central and Southern NH, Eastern MA, and RI. Loaded with sarcasm and satire of course.",false,[],false,50,245,3,Wed Dec 16 18:40:29 +0000 2015,1,null,null,false,false,5300,null,false,false,false,000000,false,false,false,false,false,,3B94D9,000000,000000,000000,false,false,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,false,en
5faeaaf56395803f1d2ace50,Fri Nov 13 15:48:40 +0000 2020,1327277207589359618,1327277207589359618,"@maxberger This list is very US Centric. I recommend ""The Storm before the Storm"" - Mike Duncan about the last 200 ",true,[],[],"[{""screen_name"":""maxberger"",""name"":""Max Berger"",""id"":15729844,""id_str"":""15729844"",""indices"":[0,10]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[116,139]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",1327052805899759619,1327052805899759619,15729844,15729844,maxberger,28882966,28882966,Jonathan Brun,jonathanbrun,"Montr, Canada","Entrepreneur, activist, thinker. Random thoughts on life, basic income, open data, business, and politics. 50 % des Tweets sont en fran.",false,[],false,629,357,46,Sat Apr 04 22:19:53 +0000 2009,53,null,null,true,false,2482,null,false,false,false,131516,false,false,true,false,false,false,009999,EEEEEE,EFEFEF,333333,true,true,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,,en
5faeaaf56395803f1d2ace51,Fri Nov 13 15:48:40 +0000 2020,1327277205995470850,1327277205995470850," is like a ship at storm, and the captain has decided to go play golf. Lawrence Gostin, a public health ex ",true,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,15985508,15985508,gophigure,gophigure,Northwest US,A freedom which is interested only in denying freedom must be denied. Simone de Beauvoir,false,[],false,51,145,2,Mon Aug 25 18:55:36 +0000 2008,26,null,null,false,false,2610,null,false,false,false,709397,false,false,false,false,false,,FF3300,86A4A6,A0C5C7,333333,true,false,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,,en
5faeaaf56395803f1d2ace52,Fri Nov 13 15:48:39 +0000 2020,1327277204120739840,1327277204120739840,RT @HANKSTERevolt: BOOM! This tweet by @Snowden more than a year ago became self fulfilling prophecy! We were warned and now it has actuall,false,[],[],"[{""screen_name"":""HANKSTERevolt"",""name"":""HANK "",""id"":1316392732135501800,""id_str"":""1316392732135501828"",""indices"":[3,17]},{""screen_name"":""Snowden"",""name"":""Edward Snowden"",""id"":2916305152,""id_str"":""2916305152"",""indices"":[39,47]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,1245724435417649160,1245724435417649160,lexi10292,lexi10292,Pa. Suburbs,Be kind to animals  adorable !  #TrumpSupporter #BackTheBlue #PatriotsUnite  accounts!,null,[],false,20995,21215,7,Thu Apr 02 14:47:28 +0000 2020,22885,null,null,false,false,16320,null,false,false,false,F5F8FA,null,null,false,false,false,,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,true,9,0,false,false,,en
5faeaaf56395803f1d2ace53,Fri Nov 13 15:48:39 +0000 2020,1327277203348987910,1327277203348987910,RT @RyanBeesleyFox5: Tropical Depression Thirty-One (ties 2005) has formed and is expected to become #Iota soon. This storm is likely to go,false,"[{""text"":""Iota"",""indices"":[101,106]}]",[],"[{""screen_name"":""RyanBeesleyFox5"",""name"":""Ryan Beesley"",""id"":477332043,""id_str"":""477332043"",""indices"":[3,19]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",null,null,null,null,null,17694306,17694306,MamaBear4Truth,BearingTruth,#Twitmo for tweeting too much.,#StopTheSteal #COTUS1st #RuleOfLaw #RealFedCo #FederalistCoalition #2A #PrinciplesNOTParty #Federalism #ConstitutionalDefender #TripleNegativeBreastCancerSucks,false,[],false,11689,12855,166,Fri Nov 28 00:31:06 +0000 2008,626320,null,null,false,false,667355,null,false,false,false,000000,false,false,false,false,false,false,1B95E0,000000,000000,000000,false,false,false,false,false,false,false,none,null,null,null,null,false,6,0,false,false,,en
