_id,created_at,id,id_str,text,truncated,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang
5faeae0b6609f974217e6cea,Fri Nov 13 16:02:12 +0000 2020,1327280613469138947,1327280613469138947,"@RoMaPhotobug I had this same VW. In Rhode Island winter, the windshield would become a layer of ice because the he ",true,[],[],"[{""screen_name"":""RoMaPhotobug"",""name"":""Green-Eyed Gemini"",""id"":844337511153455100,""id_str"":""844337511153455104"",""indices"":[0,13]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter for iPad</a>",1327031968790417409,1327031968790417409,844337511153455104,844337511153455104,RoMaPhotobug,827587823201034241,827587823201034241,PutWarnockOssoffInOurSenate,diannemando,"Florida, USA","Pro-human rights. Curious, open minded-except when it comes to hurting anyone. Arts & Culture, Health, Nature. Play fiddle/mandolin/guitar. NO LISTS, NO DMs.",null,[],false,3854,4324,19,Fri Feb 03 18:41:27 +0000 2017,31696,null,null,false,false,299653,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeae0b6609f974217e6ceb,Fri Nov 13 16:02:11 +0000 2020,1327280607659913217,1327280607659913217,"RT @BillandTed3: Keanu Reeves &amp; Alex @Winter want to remind you: Be excellent to each other today and every day! #WorldKindnessDay, d",false,"[{""text"":""WorldKindnessDay"",""indices"":[123,140]}]",[],"[{""screen_name"":""BillandTed3"",""name"":""Bill & Ted 3"",""id"":284929130,""id_str"":""284929130"",""indices"":[3,15]},{""screen_name"":""Winter"",""name"":""Alex Winter @ "",""id"":112243614,""id_str"":""112243614"",""indices"":[41,48]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",null,null,null,null,null,1173771406527619073,1173771406527619073,Amanda ,keanushairspray,India,"21/she/her
 


Can we pretend that airplanes in the night sky are like shootin' stars RaWr XD??",null,"[{""url"":"""",""expanded_url"":"""",""display_url"":""instagram.com/aman.droid?igs"",""indices"":[12,35]}]",false,399,359,2,Tue Sep 17 01:31:33 +0000 2019,12348,null,null,false,false,2552,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,8,0,false,false,en
5faeae0b6609f974217e6cec,Fri Nov 13 16:02:11 +0000 2020,1327280606900871170,1327280606900871170,I can wait for the winter so I can start dressin ,false,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/sineaed/status"",""indices"":[51,74]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,2503069883,2503069883,jawn valjawn ,tribestories,8 minutes after 9, I told you grass would turn into cheese then you should start hustlin crackers |  | Unapologetically Black.,false,[],false,227,99,1,Wed Apr 23 02:26:50 +0000 2014,51175,null,null,true,false,17782,null,false,false,false,C0DEED,false,false,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,regular,null,null,null,null,true,0,0,false,false,en
5faeae0b6609f974217e6ced,Fri Nov 13 16:02:09 +0000 2020,1327280602417033218,1327280602417033218," Our Holiday Music Series starts NEXT WEEK! 

Who is in need of some holiday cheer? Join our 4 week series celebr ",true,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">PLANOLY</a>",null,null,null,null,null,2602857559,2602857559,LoveBug & Me Music,LOVEBUGnMEmusic,Los Angeles,"Fun, interactive, imaginative Parent & Child Music company based in Los Angeles. ",false,"[{""url"":"""",""expanded_url"":"""",""display_url"":""LOVEBUGandME.com"",""indices"":[81,103]}]",false,122,160,5,Fri Jul 04 05:15:17 +0000 2014,31,null,null,false,false,1614,null,false,false,false,C0DEED,false,false,false,false,false,false,0084B4,FFFFFF,DDEEF6,333333,true,false,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeae0b6609f974217e6cee,Fri Nov 13 16:02:09 +0000 2020,1327280602157109250,1327280602157109250,"@mrdavidrowe I do get that the late 2nd Millennium Third Age wasn't a great time! But, outside the Fell Winter, tha ",true,[],[],"[{""screen_name"":""mrdavidrowe"",""name"":""David Rowe"",""id"":870433502,""id_str"":""870433502"",""indices"":[0,12]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[117,140]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",1327280119199707136,1327280119199707136,870433502,870433502,mrdavidrowe,3323815708,3323815708,STORI3D PAST,STORI3D_PAST,"Maine, USA","Harold Johnson. Historian. Storyteller. Skeptic. Recovering archaeogamer. 19th C antiquarian, polymath, & book seller  Sideburns included.",false,[],false,1144,254,61,Sat Jun 13 22:14:17 +0000 2015,34968,null,null,false,false,22734,null,false,false,false,000000,false,false,false,false,false,false,FA743E,000000,000000,000000,false,false,false,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeae0c6609f974217e6cef,Fri Nov 13 16:02:09 +0000 2020,1327280601242726401,1327280601242726401,@HiQAutocare Liked and shared that would be a great prize to win to buy some winter boots,false,[],[],"[{""screen_name"":""HiQAutocare"",""name"":""HiQ Tyres & Autocare"",""id"":59818900,""id_str"":""59818900"",""indices"":[0,12]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",1325755014959214592,1325755014959214592,59818900,59818900,HiQAutocare,1156599515031515137,1156599515031515137,Martin McKeown,martycelt77,"Belfast, Northern Ireland",Tweets my own opinions and views,null,[],false,18,301,0,Wed Jul 31 16:16:27 +0000 2019,1361,null,null,false,false,2930,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
5faeae0c6609f974217e6cf0,Fri Nov 13 16:02:09 +0000 2020,1327280601205002241,1327280601205002241,"RT @marbulger: We're going to need a little extra time to plan for an entire winter alone  ",false,[],[],"[{""screen_name"":""marbulger"",""name"":""Marianne Bulger"",""id"":2607677036,""id_str"":""2607677036"",""indices"":[3,13]}]","[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/johnath/status"",""indices"":[92,115]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",null,null,null,null,null,6140482,6140482,Johnathan Nightingale,johnath,Hand Crafted in Toronto,"Bestselling author @hfuiym, Founder @rawsignalgroup, Board @VentureKidsCan, DCP. Ex @Hubba, @Firefox, @creativecommons, @IBM | It's all made of people | he/him",false,[],false,6331,2610,215,Fri May 18 15:37:44 +0000 2007,53580,null,null,true,true,15790,null,false,false,false,CAE8E3,false,false,false,false,false,false,038543,FFFFFF,FFFF99,333333,true,true,false,false,false,false,false,none,null,null,null,null,true,1,0,false,false,en
5faeae0c6609f974217e6cf1,Fri Nov 13 16:02:09 +0000 2020,1327280600969932800,1327280600969932800,RT @mahaevi_mpys: Keep your skin soft &amp; glowing this winter with Patanjali Skin Care products. The Winter Care Kit contains Moisturizer cre,false,[],[],"[{""screen_name"":""mahaevi_mpys"",""name"":""Mahadevibhattrai"",""id"":1323178936763703300,""id_str"":""1323178936763703296"",""indices"":[3,16]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for Android</a>",null,null,null,null,null,1230801557224067074,1230801557224067074,false,rajkumardubeyy1,India,  ,null,[],false,3400,5003,3,Fri Feb 21 10:29:09 +0000 2020,58549,null,null,false,false,101565,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,null,null,null,null,false,13,0,false,false,en
5faeae0c6609f974217e6cf2,Fri Nov 13 16:02:09 +0000 2020,1327280600219348993,1327280600219348993,"RT @jasonsau: #UWaterloo students! I'm seeking a Winter co-op Research Assistant to help with human cardiovascular data analysis in our lab",false,"[{""text"":""UWaterloo"",""indices"":[14,24]}]",[],"[{""screen_name"":""jasonsau"",""name"":""Jason Au"",""id"":34342454,""id_str"":""34342454"",""indices"":[3,12]}]",[],en,recent,"<a href="""" rel=""nofollow"">Twitter for iPhone</a>",null,null,null,null,null,36160308,36160308,Jem Cheng,jemcheng,Canada,"Ph.D. Kinesiology Candidate, Vascular Dynamics Lab, McMaster University. Interested in exercise, cardiovascular health, and heat stress.",null,[],false,670,510,12,Tue Apr 28 19:43:51 +0000 2009,4749,null,null,true,false,31630,null,false,false,false,000000,false,false,false,false,false,false,7FDBB6,000000,000000,000000,false,false,false,false,false,false,false,none,null,null,null,null,false,1,0,false,false,en
5faeae0c6609f974217e6cf3,Fri Nov 13 16:02:08 +0000 2020,1327280596880683009,1327280596880683009,"If you think Sweden will change strategy, I tell you, it won't happen, no matter what. They won't recommend masks. ",true,[],[],[],"[{""url"":"""",""expanded_url"":"""",""display_url"":""twitter.com/i/web/status/1"",""indices"":[116,139]}]",en,recent,"<a href="""" rel=""nofollow"">Twitter Web App</a>",null,null,null,null,null,1321897635112984581,1321897635112984581,evaensuecia,evaensuecia,false,"Spaniard living in Sweden. 
Trying to survive the herd immunity experiment.",null,[],false,151,206,0,Thu Oct 29 19:32:32 +0000 2020,699,null,null,false,false,507,null,false,false,false,F5F8FA,null,null,false,false,false,false,1DA1F2,C0DEED,DDEEF6,333333,true,true,true,false,false,false,false,none,null,null,null,null,false,0,0,false,false,en
